idx,upstream_label,upstream_confidence,canonical_binomial,event_time_utc,bioclip_top1,bioclip_top1_score,bioclip_topk_json,agreement_flag,cross_check_status,resolution_basis,matched_rank,taxonomic_distance,bioclip_top1_kingdom,bioclip_top1_class,bioclip_top1_order,bioclip_top1_family,bioclip_top1_genus,agreement_rationale,vlm_description
85,ColumbaPalumbus,0.8,Columba palumbus,2026-06-29T11:00:35+00:00,Lepomis macrochirus,0.10189413279294968,"[[""Lepomis macrochirus"", 0.10189413279294968], [""Melanoleuca subpulverulenta"", 0.09643904864788055], [""Cyprinella galactura"", 0.06618096679449081], [""Lepomis macrochirus"", 0.036519475281238556], [""Anguilla rostrata"", 0.03118782490491867]]",disagree,evaluable,unresolved_prediction,none,other_animal,Animalia,,,Centrarchidae,Lepomis,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Lepomis macrochirus' is a different taxon (other_animal)","In the center of a grassy lawn, there's an outdoor bird feeder with a black base and four metal perches. Above the feeder, a weather vane stands tall, indicating wind direction. A few scattered leaves and some broken twigs are visible on the ground near the feeder. The image is slightly blurred, making it challenging to discern finer details."
86,ColumbaPalumbus,0.87,Columba palumbus,2026-06-29T11:56:42+00:00,Anas superciliosa rogersi,0.19147104024887085,"[[""Anas superciliosa rogersi"", 0.19147104024887085], [""Lepomis macrochirus"", 0.11054746061563492], [""Buteo pennsylvanicus"", 0.069420725107193], [""Turdus migratorius"", 0.054456740617752075], [""Coccothraustes vespertinus"", 0.04557144269347191]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Anseriformes,Anatidae,Anas,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Anas superciliosa rogersi' is a different taxon (same_class)","The image shows a circular setup with a wildlife camera at its center. The camera is black and pointed towards what appears to be a bird feeder, suggesting that the photo was taken by this camera. There are two birds perched on the feeder; one is larger, perhaps a squirrel or a larger bird, while the other is smaller, possibly a finch. They seem to be eating from the feeders.

In the foreground, there's a large metal pole with various items attached to it, such as what looks like a small feeder and a hanging basket, which could be used for food or water. The setting appears to be outdoors during daylight hours, under an overcast sky, with no visible texts or human figures in the image."
87,ColumbaPalumbus,0.93,Columba palumbus,2026-06-29T11:57:15+00:00,Lepomis macrochirus,0.45239585638046265,"[[""Lepomis macrochirus"", 0.45239585638046265], [""Lepomis macrochirus"", 0.1593942940235138], [""Coccothraustes vespertinus"", 0.14880408346652985], [""Buteo pennsylvanicus"", 0.026097791269421577], [""Anas superciliosa rogersi"", 0.02259579673409462]]",disagree,evaluable,unresolved_prediction,none,other_animal,Animalia,,,Centrarchidae,Lepomis,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Lepomis macrochirus' is a different taxon (other_animal)","The image shows a backyard scene from a camera trap. A wooden bench is in the center of the frame, with various bird feeders hanging from it. In front of the bench, there's a bird bath filled with water. The ground appears to be covered with grass and a few scattered objects. To the right, a small tree or shrub can be seen. On the left side of the image, there is an identification badge with the text ""COLUMBIA 0.63"". The photo has been edited to include this badge, which indicates it may have been taken by someone named Columbia and the location of the scene is likely to be 0.63 degrees away from the equator. This could suggest that the image was taken in a region with similar geographical coordinates to those in Columbia, but without additional context, it's not possible to determine the exact location. The focus of the photo seems to be on the bird bath and feeder area, capturing the activity around these objects."
88,ColumbaPalumbus,0.91,Columba palumbus,2026-06-29T11:59:25+00:00,Lepomis macrochirus,0.7076564431190491,"[[""Lepomis macrochirus"", 0.7076564431190491], [""Lepomis macrochirus"", 0.21421292424201965], [""Lepomis megalotis"", 0.029007935896515846], [""Lepomis cyanellus"", 0.006146120838820934], [""Gasterosteus aculeatus"", 0.00480949180200696]]",disagree,evaluable,unresolved_prediction,none,other_animal,Animalia,,,Centrarchidae,Lepomis,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Lepomis macrochirus' is a different taxon (other_animal)","The image shows a backyard scene with a focus on a small birdhouse and a cat feeder placed on the ground. There are two birds in the birdhouse: one appears to be a small, dark bird perched near the entrance, while the other is inside the nesting area. The cat feeder is positioned to the right of the birdhouse and has no visible food. In the foreground, there's a metal pole with a weather vane on top, indicating wind direction. The ground looks like it could be covered in grass or straw, and there's a small object that might be a toy or decoration near the cat feeder. There are no texts or distinguishing marks visible in the image. The style of the image suggests it was captured by an automatic wildlife camera to monitor bird and animal activity."
89,ColumbaPalumbus,0.85,Columba palumbus,2026-06-29T11:59:57+00:00,Lepomis macrochirus,0.16255724430084229,"[[""Lepomis macrochirus"", 0.16255724430084229], [""Dumetella carolinensis"", 0.09692546725273132], [""Oceanodroma leucorhoa"", 0.08029703795909882], [""Lepomis macrochirus"", 0.0801071971654892], [""Zenaida macroura"", 0.06081102415919304]]",disagree,evaluable,unresolved_prediction,none,other_animal,Animalia,,,Centrarchidae,Lepomis,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Lepomis macrochirus' is a different taxon (other_animal)","The image shows a bird feeder with a bird perched on it. There's also a small, brown bird nearby. A black flagpole stands in the background. In the foreground, there are two birds: one sitting on the ground and another standing on the rail of the flagpole."
90,ColumbaPalumbus,0.63,Columba palumbus,2026-06-29T12:01:32+00:00,Psora montana,0.134341299533844,"[[""Psora montana"", 0.134341299533844], [""Russula compacta"", 0.06076803058385849], [""Erigeron corymbosus"", 0.028248228132724762], [""Graphium liponesco"", 0.02297256700694561], [""Langermannia pachyderma"", 0.01989505998790264]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Lecanoromycetes,Lecanorales,Psoraceae,Psora,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Psora montana' is a different taxon (non_animal)","The image shows a backyard scene from a security camera. There are multiple bird feeders on the ground, each containing different types of seeds. Two birds are seen approaching these feeders; one appears to be eating from a feeder while the other is perched nearby, looking at the food. The feeders are situated around a circular motion-sensor device which likely controls the security camera. In the background, there's a glimpse of what looks like a wooden structure or fence, partially obscured by the grass. The sky above is overcast."
91,ColumbaPalumbus,0.93,Columba palumbus,2026-06-29T12:04:07+00:00,Oreothlypis peregrina,0.08670883625745773,"[[""Oreothlypis peregrina"", 0.08670883625745773], [""Russula compacta"", 0.04746261239051819], [""Psora montana"", 0.04203382879495621], [""Triodanis holzingeri"", 0.026632342487573624], [""Semiothisa alternaria"", 0.021279536187648773]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Passeriformes,Parulidae,Oreothlypis,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Oreothlypis peregrina' is a different taxon (same_class)","The image appears to be a photograph taken by a wildlife camera trap. It features an outdoor scene with green grass and a variety of objects that include bird feeders, a small statue of a person, and a decorative bird house. There's also some type of object with the name ""Cedar Card"" on it. In the foreground, there are two bird feeders: one is brown and the other is green. To the right, there's a small structure that resembles a small building or possibly a shed. The grass looks well-maintained and is lush and green, indicating that the photo was taken during a time of year when plants are in full bloom. There are no visible animals or human figures in the image."
92,ColumbaPalumbus,0.96,Columba palumbus,2026-06-29T12:24:59+00:00,Hygrocybe psittacina,0.33353185653686523,"[[""Hygrocybe psittacina"", 0.33353185653686523], [""Porphyrio hochstetteri"", 0.10131851583719254], [""Psilocybe cyanescens"", 0.0323474146425724], [""Poa pratensis"", 0.02322443015873432], [""Apus apus"", 0.015949273481965065]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Hygrocybe psittacina' is a different taxon (non_animal)","The image shows a bird feeder with various birds gathered around it. There are five small birds perched on different branches of the feeder, each facing in a different direction. The setting appears to be a residential area with a grassy lawn and a fence visible in the background. In the bottom left corner, there is a watermark or icon that reads ""CCTV,"" indicating that this image was captured by a surveillance camera. There are no texts, signs, or any other objects in view. The style of the image is realistic, capturing a moment in the lives of these birds."
93,ColumbaPalumbus,0.87,Columba palumbus,2026-06-29T12:26:33+00:00,Porphyrio hochstetteri,0.3048304617404938,"[[""Porphyrio hochstetteri"", 0.3048304617404938], [""Hemiphaga novaeseelandiae"", 0.07447542995214462], [""Anas superciliosa"", 0.06070408597588539], [""Manorina melanocephala"", 0.026589801535010338], [""Hemiphaga chathamensis"", 0.02648906596004963]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Gruiformes,Rallidae,Porphyrio,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Porphyrio hochstetteri' is a different taxon (same_class)","The image shows a camera trap with several birds in the frame. There's a bird on the right side of the photo with its wings spread, and another bird to the left, both captured mid-flight. In front of them, there is a ground surface that appears to be a patch of grass or dirt. The setting suggests this might be an outdoor scene, possibly in a garden or park area. There are no texts or distinctive markings visible in the image."
94,CorvusCorone,0.94,Corvus corone,2026-06-29T13:36:11+00:00,Corvus tasmanicus,0.5558557510375977,"[[""Corvus tasmanicus"", 0.5558557510375977], [""Corvus linnaeus"", 0.06001501530408859], [""Sturnus vulgaris"", 0.03627660498023033], [""Corvus monedula linnaeus"", 0.034010082483291626], [""Falco novaeseelandiae"", 0.03174692764878273]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Passeriformes,Corvidae,Corvus,"upstream 'CorvusCorone' -> Corvus corone, but BioCLIP's top-1 'Corvus tasmanicus' is a different taxon (same_genus)","The image shows a wildlife camera-trap photo. There are two birds captured in the shot. One bird appears to be perched on a branch or a pole, while the other bird is standing on the ground with its head turned towards the camera. Both birds have plumage and are likely wild creatures. In the background, there's a small area of grass and some debris scattered around. The lighting suggests it might be daytime. There's no text or human presence visible in the image."
95,ColumbaPalumbus,0.89,Columba palumbus,2026-06-29T13:42:55+00:00,Columba oenas,0.7638337016105652,"[[""Columba oenas"", 0.7638337016105652], [""Columba fasciata"", 0.05787642300128937], [""Columba livia"", 0.032834459096193314], [""Columba palumbus"", 0.029529279097914696], [""Fringilla coelebs"", 0.01791885308921337]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Columbiformes,Columbidae,Columba,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Columba oenas' is a different taxon (same_genus)","The image displays a backyard scene taken by a trail camera, which can be seen in the upper part of the photo with its strap and screen facing towards the viewer. The camera has captured an image of a garden or lawn area during daylight. In the center of the image, there is a bird bath with two spouts, one on each side. On top of the bird bath, there is a small black object that resembles a feeder or some kind of decoration.

Surrounding the bird bath, there are various plants and shrubs, suggesting a well-maintained garden. A bird is perched on the rim of the bird bath, facing towards the right side of the photo. The bird appears to be in mid-perch, possibly just landed or about to take flight.

On the bottom right corner of the image, there are two pieces of text overlaid on the photograph. One piece of text reads ""Powered By,"" and the other reads ""ColumbiaPollinator."" These texts suggest that the photo may be associated with a project or initiative related to wildlife conservation in Columbia, possibly indicating the location of the garden.

The setting is outdoors, under natural light, which casts shadows on the ground. The bird bath is in clear view, and its presence suggests that this is a place where birds visit and interact. The image provides a snapshot of an everyday occurrence within a domestic setting, with wildlife engaging with man-made elements."
96,ColumbaPalumbus,0.97,Columba palumbus,2026-06-29T13:43:28+00:00,Anas platyrhynchos domestica,0.13834011554718018,"[[""Anas platyrhynchos domestica"", 0.13834011554718018], [""Cyprinella galactura"", 0.10664293169975281], [""Passer domesticus"", 0.07393860816955566], [""Columba oenas"", 0.06364697962999344], [""Vermivora peregrina"", 0.03975996375083923]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Anseriformes,Anatidae,Anas,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Anas platyrhynchos domestica' is a different taxon (same_class)","The image appears to be a screenshot of a wildlife camera-trap photo. It shows a small bird perched on a metal structure, possibly the arm of a clock or some type of outdoor fixture, in an open area with grass and trees around. The setting suggests it could be part of a park or similar natural environment. There is a circular bench visible behind the bird, with various objects placed on top of it, including what looks like a metal container, possibly for bird seed or another type of food. In the foreground, there's a small bird feeder hanging from a stand with two perches, one of which is occupied by the bird. The weather seems overcast, and there are no visible human figures in the image."
97,ColumbaPalumbus,0.96,Columba palumbus,2026-06-29T13:44:32+00:00,Pachyptila turtur,0.5982984900474548,"[[""Pachyptila turtur"", 0.5982984900474548], [""Lepomis macrochirus"", 0.07124276459217072], [""Anurophasis monorthonyx"", 0.04300544783473015], [""Kyphosus analogus"", 0.030200282111763954], [""Lepomis macrochirus"", 0.028993790969252586]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Procellariiformes,Procellariidae,Pachyptila,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Pachyptila turtur' is a different taxon (same_class)","In the image, there is a bird feeder in the foreground, placed on the ground and surrounded by bird seed. The bird feeder has two openings where birds can perch or eat. There are also multiple bird feeders with closed tops around it, indicating that they may contain additional food for birds. The background shows a grassy area under what appears to be an overcast sky, suggesting that the photo was taken outdoors during daylight hours. There is no animal visible in the image."
98,ColumbaPalumbus,0.95,Columba palumbus,2026-06-29T13:45:05+00:00,Tachycineta thalassina,0.11923094838857651,"[[""Tachycineta thalassina"", 0.11923094838857651], [""Poecile atricapillus"", 0.11646008491516113], [""Tachycineta thalassina lepida"", 0.0630606934428215], [""Sitta pygmaea"", 0.05227695405483246], [""Sitta carolinensis"", 0.04767885059118271]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Passeriformes,Hirundinidae,Tachycineta,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Tachycineta thalassina' is a different taxon (same_class)","The image shows a camera trap that has captured an animal in its field of view. There is a bird perched on the right side of the frame, facing away from the camera, showing the back of its head and wing. The bird appears to be in mid-perch with a calm demeanor. In the foreground, there's a feeder station with two bird feeders attached; one is empty while the other has seeds visible. There are also some small plants growing near the feeders.

The background shows a grassy area with no distinct features that could indicate the location or time of day. The focus and lighting suggest this image was taken outdoors during the day, under clear weather conditions.

There is text overlaying the image, which reads ""Columbia Police 2."" This suggests that the photo may have been taken by a police department in Columbia and might be related to an investigation or enforcement activity, but it does not provide any specific information about the location or context beyond being related to the Columbia Police Department. The watermark text is semi-transparent and does not obscure the image's content."
99,ColumbaPalumbus,0.96,Columba palumbus,2026-06-29T15:54:44+00:00,Apus apus,0.5594007968902588,"[[""Apus apus"", 0.5594007968902588], [""Homo sapiens"", 0.05840090662240982], [""Passer domesticus"", 0.05784394592046738], [""Columba palumbus"", 0.04026636853814125], [""Quercus robur"", 0.019771046936511993]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,,Apodidae,Apus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Apus apus' is a different taxon (same_class)","The image shows a wildlife camera set up outdoors on what appears to be a grassy area, with a variety of birds and small mammals captured in the shot. There are four animals in view: a bird perched on a feeder; another bird standing nearby; a small animal that looks like a squirrel or rat; and a larger animal, possibly a cat, partially visible. The camera trap is mounted on a metal pole with a weathered appearance, indicating it has been exposed to the elements for some time. The device displays digital overlays showing information about each captured animal, including their names and scores, which seem to be related to some sort of tracking or identification system. In the background, there's a fence visible, suggesting this is likely an enclosed outdoor area, possibly a park or a private property with wildlife."
100,ColumbaPalumbus,0.95,Columba palumbus,2026-06-29T15:55:16+00:00,Anodorhynchus hyacinthinus,0.13225537538528442,"[[""Anodorhynchus hyacinthinus"", 0.13225537538528442], [""Parus palustris"", 0.12019959837198257], [""Passer domesticus"", 0.07100336998701096], [""Anas platyrhynchos domestica"", 0.04361419007182121], [""Melopsittacus undulatus"", 0.0383773036301136]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Psittaciformes,Psittacidae,Anodorhynchus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Anodorhynchus hyacinthinus' is a different taxon (same_class)","The image shows a backyard scene with a birdhouse in the center, which has two birds perched on it. There are two small bird feeders near the birdhouse, and they have no birds at the moment. In the background, there's an expanse of grass, and beyond that, a portion of a fence can be seen. The ground appears to be covered in snow, suggesting a winter setting. On the right side of the image, there is a numerical overlay indicating bird counts; however, I cannot provide details about these numbers as they are not part of the original image content."
101,ColumbaPalumbus,0.97,Columba palumbus,2026-06-29T15:55:48+00:00,Ptilonorhynchus violaceus,0.20116475224494934,"[[""Ptilonorhynchus violaceus"", 0.20116475224494934], [""Cyanoramphus novazelandiae"", 0.041636873036623], [""Corvus tasmanicus"", 0.039023011922836304], [""Platycercus pileatus"", 0.03847096115350723], [""Platycercus adscitus"", 0.03835109993815422]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Passeriformes,Ptilonorhynchidae,Ptilonorhynchus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Ptilonorhynchus violaceus' is a different taxon (same_class)","The image shows a camera trap set up in an outdoor area. In the foreground, there's a bird perched on a feeder with its wings slightly spread. Behind the feeder, a blackbird is also captured in the frame. To the right, there is a birdhouse with no birds inside it. The ground is covered with a layer of leaves and grass, suggesting it might be autumn or winter.

The background features a metal pole with various numbers on it, possibly representing data from this camera trap system. Additionally, there are some numbers overlaid on the image, which could indicate photo IDs for the birds captured in the frame.

The setting appears to be a backyard or garden, and the environment looks peaceful and well-maintained. There is no text visible in the image that provides additional context or information. The focus of the camera trap is clearly on capturing images of birds interacting with the feeder and birdhouse."
102,ColumbaPalumbus,0.92,Columba palumbus,2026-06-29T15:56:21+00:00,Homo sapiens,0.1342317759990692,"[[""Homo sapiens"", 0.1342317759990692], [""Phyllostachys dulcis"", 0.05323741212487221], [""Calvatia gigantea"", 0.04697782173752785], [""Botrytis gigantea"", 0.04624738171696663], [""Poa pratensis"", 0.0446954146027565]]",disagree,evaluable,unresolved_prediction,none,other_animal,Animalia,Mammalia,Primates,Hominidae,Homo,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Homo sapiens' is a different taxon (other_animal)","The image shows a backyard scene with a bird feeder in the center. The feeder is mounted on a stand and appears to have food, attracting birds. There's a label ""Columbia"" on the feeder. On the ground around the feeder, there are some items that look like bird feed or scattered seeds. A bird is perched on the stand of the feeder, facing left towards the viewer. The setting appears to be outdoors during daylight with natural light illuminating the scene."
103,ColumbaPalumbus,0.67,Columba palumbus,2026-06-29T16:00:28+00:00,Oryctolagus cuniculus domesticus,0.13707435131072998,"[[""Oryctolagus cuniculus domesticus"", 0.13707435131072998], [""Phyllostachys dulcis"", 0.09955637156963348], [""Homo sapiens"", 0.09788734465837479], [""Poa pratensis"", 0.0709843561053276], [""Bovista plumbea"", 0.06388047337532043]]",disagree,evaluable,no_taxonomic_match,none,other_animal,Animalia,Mammalia,Lagomorpha,Leporidae,Oryctolagus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Oryctolagus cuniculus domesticus' -> Oryctolagus cuniculus (other_animal)","The image shows a wildlife camera setup in an outdoor environment. There are two birds, one at the top left corner of the frame and another on the right side near the center. A black bird feeder is mounted to the right of the frame. In the bottom left corner, there's a small sign with the text ""Columbus 0.6"" which might refer to some sort of sensor or measurement data. The setting appears to be a grassy lawn, and it looks like a residential area. The camera trap is positioned on the ground to capture images of wildlife. The focus of the image is the bird feeder and the birds interacting with it."
104,ColumbaPalumbus,0.8,Columba palumbus,2026-06-29T17:07:14+00:00,Passer domesticus,0.1322532296180725,"[[""Passer domesticus"", 0.1322532296180725], [""Apus apus"", 0.12966232001781464], [""Homo sapiens"", 0.12456168234348297], [""Oryctolagus cuniculus domesticus"", 0.11283687502145767], [""Chaetura pelagica"", 0.02890658751130104]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a wildlife camera trap setup outdoors in a natural environment. In the center of the image, there's a black metal bird feeder with various bird feeders attached at different heights, suggesting it's designed to attract a variety of birds. To the right of the feeder, there are two small figures that appear to be animals, possibly cats or kittens, based on their size and posture.

The image also includes a watermark or overlay text ""CUBLAS_FEEBUS 0.68"" in the upper right corner, which seems to indicate the type of camera or software used for monitoring wildlife activity. The setting around the camera trap is a grassy area with some bare ground, and there's an indication of human activity with litter present on the ground.

The style of the image is a standard photograph with no artistic filters applied. It seems to be taken from an external angle looking down towards the wildlife camera trap setup."
105,ColumbaPalumbus,0.95,Columba palumbus,2026-06-29T18:57:02+00:00,Psilocybe cyanescens,0.10292976349592209,"[[""Psilocybe cyanescens"", 0.10292976349592209], [""Poa pratensis"", 0.08594610542058945], [""Phyllostachys dulcis"", 0.040695905685424805], [""Hygrocybe psittacina"", 0.03299679979681969], [""Paspalum distichum"", 0.025656893849372864]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Psilocybe cyanescens' is a different taxon (non_animal)","The image shows a backyard scene with a circular metal bird feeder filled with seeds on top. A bird bath is also present, which appears to have water in it. There's a black wrought iron stand supporting the bird feeder and bird bath, and the grassy area around them looks well-maintained. In the background, there's an item resembling a birdhouse hanging on a pole. A small sign with white text is attached to the bottom of the image, displaying the text ""Cumberland"" and ""QS"". The overall setting suggests it could be a front yard of a home in a suburban area."
106,ColumbaPalumbus,0.71,Columba palumbus,2026-06-30T04:22:25+00:00,Passer domesticus,0.7289823889732361,"[[""Passer domesticus"", 0.7289823889732361], [""Anas platyrhynchos domestica"", 0.04466141760349274], [""Chaetura pelagica"", 0.01986587978899479], [""Poa pratensis"", 0.014542561955749989], [""Apus apus"", 0.013156767934560776]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image depicts a backyard scene captured by a motion-activated wildlife camera. In the foreground, there's a bird feeder with several birds perched on it or nearby branches. The grass appears well-maintained and lush. To the right of the frame is a small figure resembling a person, but it's too far away to discern any specific details about their attire or actions. In the top left corner, there's a blurred text overlaying the image that reads ""Coyote."" However, this appears to be incorrect as no coyote is visible in the actual scene. The rest of the backyard area is out of focus due to the depth of field settings on the camera. There are no other distinguishable features or objects in the photo that can be confidently identified."
107,ColumbaPalumbus,0.83,Columba palumbus,2026-06-30T04:23:29+00:00,Passer domesticus,0.6287144422531128,"[[""Passer domesticus"", 0.6287144422531128], [""Apus apus"", 0.08667001128196716], [""Parus palustris"", 0.042083341628313065], [""Chaetura pelagica"", 0.03983815759420395], [""Quiscalus quiscula"", 0.026871144771575928]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a backyard scene captured by a trail camera. In the center of the photo, there's a bird feeder with two birds perched on it, eating or resting. To the right, an enclosed area contains what appears to be a small birdhouse with another bird inside, and a couple of other birds are visible in this space as well. The ground is covered in grass, and the setting suggests a residential yard. In the lower right corner of the image, there's text overlaying the picture that reads ""Coleman 830,"" likely indicating the brand or model of the camera used to take the photo. The timestamp on the camera-trap device is also visible, showing ""Columbus, 2.2 10:56 PM."" This indicates that the photo was taken in February at night (as suggested by the timestamp). The image quality and timestamp provide information about when the picture was taken and what species of bird are present in the scene."
108,ColumbaPalumbus,0.86,Columba palumbus,2026-06-30T04:24:32+00:00,Passer domesticus,0.868247926235199,"[[""Passer domesticus"", 0.868247926235199], [""Anas platyrhynchos domestica"", 0.014682953245937824], [""Zenaida macroura"", 0.01441789511591196], [""Mimus polyglottos"", 0.012358957901597023], [""Chaetura pelagica"", 0.011750989593565464]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a wildlife camera trap picture of a backyard scene. In the foreground, there's an empty bird feeder on a stand with several birds perched around it. To the right of the feeder, there are two birdhouses with no visible occupants. The grassy lawn appears green and well-maintained, indicative of a residential yard. At the top right corner of the image, there's an overlaid text that reads ""Columbus 0.6236"" in white font. The style of the image is typical for wildlife camera trap photos, showcasing the interaction between birds and feeders."
109,ColumbaPalumbus,0.91,Columba palumbus,2026-06-30T04:35:26+00:00,Passer domesticus,0.47700077295303345,"[[""Passer domesticus"", 0.47700077295303345], [""Carpodacus purpureus"", 0.11744898557662964], [""Anas platyrhynchos domestica"", 0.08362922817468643], [""Quiscalus quiscula"", 0.04088383913040161], [""Melopsittacus undulatus"", 0.024042757228016853]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a yard with green grass, a small bush, and some plants with white flowers. In the center of the yard, there are two bird feeders hanging from a pole, one of which appears to be almost empty. A black metal fence surrounds the yard. There is a single small bird perched on the ground near the bird feeder. On the right side of the image, there's a timestamped photograph with a label that reads ""Columbia Pabst 0.1"". The timestamp indicates that this photo was taken at 6:19 PM. The overall scene suggests a quiet suburban setting, possibly in an area with some bird activity given the presence of the feeders."
110,ColumbaPalumbus,0.91,Columba palumbus,2026-06-30T04:57:12+00:00,Passer domesticus,0.15438130497932434,"[[""Passer domesticus"", 0.15438130497932434], [""Psilocybe cyanescens"", 0.13151319324970245], [""Poa pratensis"", 0.08629617840051651], [""Stropharia caerulea"", 0.0548425130546093], [""Stropharia melanosperma"", 0.039030130952596664]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a backyard scene captured by a camera trap. In the center of the frame, there is a black bird feeder hanging from a pole with several perches around it. One of these perches appears to be occupied by a bird, which looks like a small songbird. The bird is facing away from the camera, possibly eating or resting.

The feeder and perch are set against a grassy background that seems to be a well-maintained lawn with a few scattered leaves. To the right of the bird feeder, there is a metal post with a small sign on top, but the text on the sign is not clearly legible. The overall setting appears to be a residential area, and the lighting suggests it might be either early morning or late afternoon due to the soft shadows cast by the trees or other structures in the background."
111,ColumbaPalumbus,0.92,Columba palumbus,2026-06-30T05:00:48+00:00,Passer domesticus,0.3716103732585907,"[[""Passer domesticus"", 0.3716103732585907], [""Poa pratensis"", 0.1187722310423851], [""Russula pulverulenta"", 0.11491813510656357], [""Sciurus carolinensis"", 0.029115213081240654], [""Psilocybe cyanescens"", 0.019739681854844093]]",disagree,evaluable,no_taxonomic_match,none,same_class,Animalia,Aves,Passeriformes,Passeridae,Passer,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP 'Passer domesticus' -> Passer domesticus (same_class)","The image shows a bird feeder set up in a backyard environment. There are three birds captured by the camera trap: one small, brownish bird perched on the right side of the photo; another larger bird with a distinctive white marking its head and chest area, standing to the left; and a third bird with a predominantly dark plumage also visible in the upper left corner of the photo. The birds are positioned in front of the feeder, which has several compartments filled with food. There is also a small black ornamental light fixture attached to a post nearby. In the foreground, there is a grassy area with some bare earth patches. Overlaying the image is a green box indicating ""Columbia 0.93,"" suggesting that this photo was taken in Columbia, South Carolina. The background shows a fence and foliage, typical of an outdoor residential setting. There are no visible texts other than the identification label for the image within the image itself."
